gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624182,4,bottom,Southern Maryland Blue Crabs,Lexington Legends,Jackson Loftin,2,CS,1,2,2
624182,7,bottom,Southern Maryland Blue Crabs,Lexington Legends,Jamari Baylor,2,SB,2,1,1
624182,8,bottom,Southern Maryland Blue Crabs,Lexington Legends,John Taylor,2,SB,0,2,3
624306,7,top,High Point Rockers,Long Island Ducks,D.J. Burt,2,SB,0,1,2
624306,8,bottom,Long Island Ducks,High Point Rockers,Troy Viola,2,CS,3,2,1
624307,2,top,High Point Rockers,Long Island Ducks,Max Viera,2,SB,1,1,2
624307,3,top,High Point Rockers,Long Island Ducks,Jack Conley,2,SB,1,0,1
624307,3,top,High Point Rockers,Long Island Ducks,Aidan Brewer,2,SB,1,2,2
624307,7,top,High Point Rockers,Long Island Ducks,D.J. Burt,3,SB,1,0,3
624307,9,top,High Point Rockers,Long Island Ducks,Luis Gonzalez,2,SB,2,0,1
624308,1,bottom,Long Island Ducks,High Point Rockers,River Town,2,SB,0,2,2
