Team,Number,Player,Position,Ht,B,T
Southern Maryland,12,John Kelly,P,,R,R
Southern Maryland,44,Garrett Martin,P,,R,R
Southern Maryland,27,Brandon McCabe,P,,R,R
Southern Maryland,26,Jalen Miller,P,,R,R
Southern Maryland,48,Andre Scrubb,P,6-4,R,R
Southern Maryland,18,Shawn Semple,P,6-1,R,R
Southern Maryland,28,Cody Thompson,P,6-3,R,R
Southern Maryland,32,Andrew Thurman,P,,R,R
Southern Maryland,41,Rafi Vazquez,P,,R,R
Southern Maryland,23,Noah Willamson,P,,R,R
Southern Maryland,15,Ryan McCarthy,C,,R,R
Southern Maryland,21,Andy Valdes,C,,S,R
Southern Maryland,8,Brett Barrera,3B,6-0,R,R
Southern Maryland,13,Jamari Baylor,IF,5-10,R,R
Southern Maryland,9,Sam Dexter,SS,5-11,R,R
Southern Maryland,10,John Taylor,2B,,L,L
Southern Maryland,14,Giovanni Digiacomo,OF,,L,L
Southern Maryland,22,Pearce Howard,OF,6-3,L,R
Southern Maryland,3,Ethan Wilson,RF,,L,L
Southern Maryland,46,Alejandro De Aza,U,,L,L
Southern Maryland,38,Dondrei Hubbard,U,,R,R
Southern Maryland,2,Jackson Loftin,U,6-2,R,R
Southern Maryland,4,Dwight Childs,C,,R,R
